,Class
sample_0,PRAD
sample_1,LUAD
sample_2,PRAD
sample_3,PRAD
sample_4,BRCA
sample_5,PRAD
sample_6,KIRC
sample_7,PRAD
sample_8,BRCA
sample_9,PRAD
sample_10,BRCA
sample_11,KIRC
sample_12,PRAD
sample_13,BRCA
sample_14,BRCA
sample_15,BRCA
sample_16,LUAD
sample_17,KIRC
sample_18,KIRC
sample_19,PRAD
sample_20,BRCA
sample_21,KIRC
sample_22,LUAD
sample_23,BRCA
sample_24,KIRC
sample_25,LUAD
sample_26,COAD
sample_27,BRCA
sample_28,BRCA
sample_29,BRCA
sample_30,BRCA
sample_31,BRCA
sample_32,KIRC
sample_33,BRCA
sample_34,PRAD
sample_35,BRCA
sample_36,KIRC
sample_37,LUAD
sample_38,BRCA
sample_39,BRCA
sample_40,KIRC
sample_41,PRAD
sample_42,PRAD
sample_43,KIRC
sample_44,KIRC
sample_45,BRCA
sample_46,PRAD
sample_47,COAD
sample_48,BRCA
sample_49,LUAD
sample_50,BRCA
sample_51,LUAD
sample_52,BRCA
sample_53,PRAD
sample_54,COAD
sample_55,BRCA
sample_56,BRCA
sample_57,COAD
sample_58,KIRC
sample_59,BRCA
sample_60,LUAD
sample_61,KIRC
sample_62,BRCA
sample_63,LUAD
sample_64,PRAD
sample_65,COAD
sample_66,BRCA
sample_67,PRAD
sample_68,KIRC
sample_69,BRCA
sample_70,KIRC
sample_71,BRCA
sample_72,BRCA
sample_73,LUAD
sample_74,BRCA
sample_75,LUAD
sample_76,BRCA
sample_77,KIRC
sample_78,PRAD
sample_79,COAD
sample_80,BRCA
sample_81,PRAD
sample_82,BRCA
sample_83,BRCA
sample_84,PRAD
sample_85,PRAD
sample_86,BRCA
sample_87,BRCA
sample_88,KIRC
sample_89,BRCA
sample_90,PRAD
sample_91,PRAD
sample_92,BRCA
sample_93,BRCA
sample_94,BRCA
sample_95,PRAD
sample_96,COAD
sample_97,BRCA
sample_98,PRAD
sample_99,BRCA
sample_100,BRCA
sample_101,KIRC
sample_102,BRCA
sample_103,KIRC
sample_104,LUAD
sample_105,KIRC
sample_106,LUAD
sample_107,COAD
sample_108,LUAD
sample_109,LUAD
sample_110,PRAD
sample_111,BRCA
sample_112,LUAD
sample_113,PRAD
sample_114,BRCA
sample_115,KIRC
sample_116,KIRC
sample_117,KIRC
sample_118,BRCA
sample_119,BRCA
sample_120,LUAD
sample_121,KIRC
sample_122,LUAD
sample_123,BRCA
sample_124,PRAD
sample_125,PRAD
sample_126,PRAD
sample_127,BRCA
sample_128,KIRC
sample_129,LUAD
sample_130,COAD
sample_131,BRCA
sample_132,COAD
sample_133,BRCA
sample_134,BRCA
sample_135,KIRC
sample_136,LUAD
sample_137,BRCA
sample_138,KIRC
sample_139,COAD
sample_140,BRCA
sample_141,PRAD
sample_142,BRCA
sample_143,KIRC
sample_144,LUAD
sample_145,COAD
sample_146,PRAD
sample_147,BRCA
sample_148,LUAD
sample_149,LUAD
sample_150,LUAD
sample_151,LUAD
sample_152,BRCA
sample_153,BRCA
sample_154,LUAD
sample_155,BRCA
sample_156,BRCA
sample_157,PRAD
sample_158,PRAD
sample_159,LUAD
sample_160,PRAD
sample_161,LUAD
sample_162,KIRC
sample_163,BRCA
sample_164,PRAD
sample_165,LUAD
sample_166,COAD
sample_167,KIRC
sample_168,LUAD
sample_169,BRCA
sample_170,KIRC
sample_171,LUAD
sample_172,BRCA
sample_173,LUAD
sample_174,BRCA
sample_175,BRCA
sample_176,BRCA
sample_177,PRAD
sample_178,BRCA
sample_179,KIRC
sample_180,COAD
sample_181,KIRC
sample_182,BRCA
sample_183,PRAD
sample_184,PRAD
sample_185,PRAD
sample_186,LUAD
sample_187,LUAD
sample_188,BRCA
sample_189,LUAD
sample_190,LUAD
sample_191,KIRC
sample_192,LUAD
sample_193,PRAD
sample_194,LUAD
sample_195,BRCA
sample_196,BRCA
sample_197,BRCA
sample_198,LUAD
sample_199,LUAD
sample_200,BRCA
sample_201,KIRC
sample_202,KIRC
sample_203,KIRC
sample_204,KIRC
sample_205,PRAD
sample_206,BRCA
sample_207,PRAD
sample_208,BRCA
sample_209,LUAD
sample_210,LUAD
sample_211,BRCA
sample_212,PRAD
sample_213,BRCA
sample_214,PRAD
sample_215,BRCA
sample_216,BRCA
sample_217,BRCA
sample_218,LUAD
sample_219,BRCA
sample_220,KIRC
sample_221,LUAD
sample_222,KIRC
sample_223,KIRC
sample_224,LUAD
sample_225,BRCA
sample_226,KIRC
sample_227,PRAD
sample_228,BRCA
sample_229,LUAD
sample_230,LUAD
sample_231,PRAD
sample_232,COAD
sample_233,BRCA
sample_234,KIRC
sample_235,PRAD
sample_236,KIRC
sample_237,COAD
sample_238,BRCA
sample_239,KIRC
sample_240,KIRC
sample_241,LUAD
sample_242,PRAD
sample_243,PRAD
sample_244,LUAD
sample_245,LUAD
sample_246,KIRC
sample_247,BRCA
sample_248,BRCA
sample_249,COAD
sample_250,BRCA
sample_251,PRAD
sample_252,COAD
sample_253,BRCA
sample_254,PRAD
sample_255,KIRC
sample_256,PRAD
sample_257,PRAD
sample_258,PRAD
sample_259,BRCA
sample_260,COAD
sample_261,COAD
sample_262,LUAD
sample_263,COAD
sample_264,COAD
sample_265,PRAD
sample_266,LUAD
sample_267,BRCA
sample_268,BRCA
sample_269,KIRC
sample_270,KIRC
sample_271,BRCA
sample_272,COAD
sample_273,PRAD
sample_274,KIRC
sample_275,PRAD
sample_276,BRCA
sample_277,BRCA
sample_278,KIRC
sample_279,BRCA
sample_280,BRCA
sample_281,BRCA
sample_282,BRCA
sample_283,LUAD
sample_284,LUAD
sample_285,BRCA
sample_286,BRCA
sample_287,BRCA
sample_288,KIRC
sample_289,KIRC
sample_290,KIRC
sample_291,KIRC
sample_292,BRCA
sample_293,BRCA
sample_294,BRCA
sample_295,KIRC
sample_296,BRCA
sample_297,BRCA
sample_298,LUAD
sample_299,PRAD
sample_300,BRCA
sample_301,BRCA
sample_302,COAD
sample_303,LUAD
sample_304,PRAD
sample_305,BRCA
sample_306,BRCA
sample_307,BRCA
sample_308,COAD
sample_309,BRCA
sample_310,PRAD
sample_311,BRCA
sample_312,COAD
sample_313,LUAD
sample_314,LUAD
sample_315,PRAD
sample_316,KIRC
sample_317,BRCA
sample_318,KIRC
sample_319,KIRC
sample_320,LUAD
sample_321,COAD
sample_322,KIRC
sample_323,BRCA
sample_324,BRCA
sample_325,BRCA
sample_326,BRCA
sample_327,KIRC
sample_328,BRCA
sample_329,BRCA
sample_330,PRAD
sample_331,BRCA
sample_332,KIRC
sample_333,BRCA
sample_334,LUAD
sample_335,PRAD
sample_336,KIRC
sample_337,BRCA
sample_338,PRAD
sample_339,COAD
sample_340,BRCA
sample_341,BRCA
sample_342,BRCA
sample_343,LUAD
sample_344,LUAD
sample_345,LUAD
sample_346,BRCA
sample_347,BRCA
sample_348,PRAD
sample_349,LUAD
sample_350,BRCA
sample_351,KIRC
sample_352,BRCA
sample_353,COAD
sample_354,COAD
sample_355,LUAD
sample_356,BRCA
sample_357,KIRC
sample_358,BRCA
sample_359,BRCA
sample_360,BRCA
sample_361,COAD
sample_362,LUAD
sample_363,COAD
sample_364,KIRC
sample_365,PRAD
sample_366,KIRC
sample_367,BRCA
sample_368,BRCA
sample_369,KIRC
sample_370,BRCA
sample_371,COAD
sample_372,PRAD
sample_373,LUAD
sample_374,PRAD
sample_375,BRCA
sample_376,KIRC
sample_377,PRAD
sample_378,BRCA
sample_379,COAD
sample_380,KIRC
sample_381,KIRC
sample_382,COAD
sample_383,COAD
sample_384,PRAD
sample_385,BRCA
sample_386,BRCA
sample_387,COAD
sample_388,KIRC
sample_389,BRCA
sample_390,PRAD
sample_391,BRCA
sample_392,BRCA
sample_393,BRCA
sample_394,LUAD
sample_395,LUAD
sample_396,KIRC
sample_397,LUAD
sample_398,BRCA
sample_399,KIRC
sample_400,COAD
sample_401,PRAD
sample_402,BRCA
sample_403,LUAD
sample_404,PRAD
sample_405,BRCA
sample_406,BRCA
sample_407,BRCA
sample_408,LUAD
sample_409,BRCA
sample_410,BRCA
sample_411,PRAD
sample_412,BRCA
sample_413,PRAD
sample_414,COAD
sample_415,BRCA
sample_416,LUAD
sample_417,BRCA
sample_418,BRCA
sample_419,LUAD
sample_420,BRCA
sample_421,BRCA
sample_422,BRCA
sample_423,KIRC
sample_424,LUAD
sample_425,PRAD
sample_426,BRCA
sample_427,PRAD
sample_428,KIRC
sample_429,BRCA
sample_430,KIRC
sample_431,COAD
sample_432,BRCA
sample_433,PRAD
sample_434,LUAD
sample_435,KIRC
sample_436,BRCA
sample_437,BRCA
sample_438,KIRC
sample_439,BRCA
sample_440,LUAD
sample_441,BRCA
sample_442,BRCA
sample_443,PRAD
sample_444,COAD
sample_445,BRCA
sample_446,KIRC
sample_447,LUAD
sample_448,PRAD
sample_449,BRCA
sample_450,PRAD
sample_451,BRCA
sample_452,BRCA
