R M Ballantyne,The Walrus Hunters
Sir Arthur Conan Doyle,A Study In Scarlet
R M Ballantyne,The Battle and the Breeze
James Fenimore Cooper,Miles Wallingford
Ulysses Grant,State of the Union Addresses of Ulysses S. Grant
Henry Rider Haggard,Dawn
Henry Rider Haggard,Cetywayo and his White Neighbours
James Fenimore Cooper,Oak Openings
Bret Harte,A Waif of the Plains
William Makepeace Thackeray,The Book of Snobs
Jack London,The Mutiny of the Elsinore
William Wymark Jacobs,The Weaker Vessel, Night Watches, Part 4
George Bernard Shaw,The Doctor's Dilemma: Preface on Doctors
John Dryden,All for Love
Herman Melville,The Piazza Tales
Grant Allen,Michael's Crag
Baronness Orczy,The Scarlet Pimpernel
P G Wodehouse,The Girl on the Boat
Charles Kingsley,Town and Country Sermons
Anthony Trollope,Linda Tressel
Harold Bindloss,Prescott of Saskatchewan
Daniel Defoe,And What if the Pretender should Come?
Joseph Conrad,A Personal Record
Jonathan Swift,The Prose Works of Jonathan Swift, D.D., Volume 3
Henry Rider Haggard,Black Heart and White Heart
Philip Kindred Dick,The Skull
Henry Rider Haggard,Regeneration
Harold Bindloss,The Coast of Adventure
Sir Walter Scott,The Surgeon's Daughter
Aldous Huxley,Mortal Coils
Edgar Rice Burroughs,The Oakdale Affair
Sir Richard Francis Burton,To the Gold Coast for Gold, Volume 2
Jack London,The Cruise of the Dazzler
Lyman Frank Baum,Aunt Jane's Nieces Out West
Henry James,The Lesson of the Master
G K Chesterton,Appreciations and Criticisms of the Works of Charles Dickens
Edward Stratemeyer,The Rover Boys out West
O Henry,Cabbages and Kings
Edward Phillips Oppenheim,A Lost Leader
George Alfred Henty,The Boy Knight
Lucy Maud Montgomery,The Golden Road
Herbert George Wells,The Red Room
Jerome Klapka Jerome,Mrs. Korner Sins Her Mercies
Winston Churchill,A Modern Chronicle, Complete
Thomas Hardy,The Hand of Ethelberta
Henry James,The Golden Bowl
D H Lawrence,New Poems
William Wymark Jacobs,The Nest Egg, Captains All, Book 3
William Wymark Jacobs,Light Freights
Anthony Trollope,Autobiography of Anthony Trollope
Bram Stoker,The Man
Charles Darwin,The Descent of Man and Selection in Relation to Sex Volume I (1st edition)
Charles Kingsley,Historical Lectures and Essays
William Dean Howells,Roundabout to Boston
Herbert George Wells,The Sleeper Awakes
Sir Walter Scott,The Lady of the Lake
Sir Walter Scott,Kenilworth
Richard Brinsley Sheridan,The Duenna
Jacob Abbott,Genghis Khan
George Bernard Shaw,The Irrational Knot
Charlotte Mary Yonge,The Pigeon Pie
Edmund Burke,The Works of the Right Honourable Edmund Burke, Vol. 09 (of 12)
Ralph Waldo Emerson,Essays, First Series
Lyman Frank Baum,Policeman Bluejay
Edward Phillips Oppenheim,The Mischief Maker
William Makepeace Thackeray,Notes on a Journey from Cornhill to Grand Cairo
Aldous Huxley,The Defeat of Youth and Other Poems
Thomas Carlyle,History of Friedrich II of Prussia, Volume 2
Jacob Abbott,King Alfred of England
Walter de la Mare,Songs of Childhood
John Morley,Diderot and the Encyclopædists (Vol 2 of 2)
William Dean Howells,Questionable Shapes
Rudyard Kipling,Sea Warfare
Nathaniel Hawthorne,The Wives of The Dead
Thornton Waldo Burgess,The Boy Scouts in A Trapper's Camp
O Henry,The Four Million
Nathaniel Hawthorne,The Intelligence Office (From "Mosses From An Old Manse")
Zane Grey,Valley of Wild Horses
John Morley,Critical Miscellanies, Volume 2, Essay 1, Vauvenargues
Henry Rider Haggard,She
Mark Twain,Editorial Wild Oats
Jacob Abbott,Rollo at Play
William Wymark Jacobs,The Vigil, Night Watches, Part 8
Frank Richard Stockton,The Casting Away of Mrs. Lecks and Mrs. Aleshine
Lord Tennyson,Lady Clare
Jacob Abbott,Rollo on the Rhine
Rudyard Kipling,Kim
Edward Phillips Oppenheim,The Lost Ambassador
Sir Arthur Conan Doyle,The White Company
Sinclair Lewis,The Trail of the Hawk
Charlotte Mary Yonge,Young Folks' History of England
G K Chesterton,What I Saw in America
John Stuart Mill,Essays on some unsettled Questions of Political Economy
Louisa May Alcott,On Picket Duty and Other Tales
Alfred Russel Wallace,Island Life
Charlotte Mary Yonge,The Prince and the Page
Sir Walter Scott,Marmion
Hamlin Garland,Other Main-Travelled Roads
Louisa May Alcott,Little Men
George Alfred Henty,The Golden Canyon
Harold Bindloss,The Impostor
Jacob Abbott,Rollo in Naples
Charles Dickens,Great Expectations
James Bowker,Goblin Tales of Lancashire
Ralph Waldo Emerson,May-Day
Louisa May Alcott,Under the Lilacs
